"rid","q2_type","q2_type_id","q5_satisfaction","q6_problems","q6_problems_id","q7_privacy","q7_human_support","q7_accessibility","q7_connection","q7_governance","q7_cost","q7_adaptability","q7_reliability","q9_familiarity","q9_familiarity_id","q10_importance","q10_importance_id","q11_trust","q11_trust_id","q12_adoption","q12_adoption_id","q13_model_matters","q13_model_matters_id","q15_trustworthy","q16_interest","q16_interest_id","q18_coop_fit","q18_coop_fit_id","q19_coop_relationship","q19_coop_relationship_id","q20_coop_trust","q22_nonprofit_burdens","q23_nonprofit_attractive","q23_nonprofit_attractive_id","q24_nonprofit_conditions","q26_community_difficulties","q27_community_role","q27_community_role_id","q29_union_needs","q30_union_appeal","q30_union_appeal_id","q31_union_governance","q33_muni_requirements","q34_muni_perception","q34_muni_perception_id","q36_activist_risks","q37_activist_trust","q37_activist_trust_id","q38_activist_conditions","q40_relationship","q40_relationship_id","q41_involvement","q41_involvement_id","q42_trust_conditions","q42_trust_conditions_id","q43_first_year","q43_first_year_id","q45_optional","q45_optional_id","q46_comments","q47_followup","q47_followup_id","q48_updates","q48_updates_id","q50_barriers","q50_barriers_id","q51_support","q51_support_id","q52_price_sensitivity","q52_price_sensitivity_id","q54_contribution_type","q54_contribution_type_id","q55_individual_amount","q55_individual_amount_id","q56_worthwhile","q58_org_pricing_model","q58_org_pricing_model_id","q59_org_willingness","q59_org_willingness_id","q60_org_cost","q60_org_cost_id","q61_org_cost_justified","q63_consent","q9_familiarity_id_ord","q10_importance_id_ord","q11_trust_id_ord","q12_adoption_id_ord"
"R001","Non-profit","non_profit","3.0","Too expensive; Too many separate tools to manage; Not well suited to our community or work","too_expensive, too_many_tools, not_suited","3.0","3.0","4.0","4.0","4.0","5.0","5.0","5.0","Not familiar","not_familiar","Extremely important","extremely_important","Much more likely","much_more_likely","Much more likely","much_more_likely","Better alignment with co-operative or community values; More accountability to real communities; More trust in how decisions are made; Better privacy and data stewardship; More influence over future development; Lower risk of profit-driven decisions; Stronger long-term community benefit; It would not matter much to me","values_alignment, accountability, decision_trust, privacy, influence, less_profit_pressure, long_term_benefit, does_not_matter","","","","","","","","","Cost and multiple platforms","Much more attractive","much_more_attractive","One platform to integrate all ","","","","","","","","","","","","","","","Member organization","member_organization","A meaningful voice in governance and direction","meaningful_voice","Strong privacy and data protection; Reliable support and maintenance; Real examples or pilot partners; Long-term sustainability plan","strong_privacy, reliable_support, real_examples, sustainability_plan","Pay for use; Give regular feedback; Join a pilot; Participate in governance or voting; Refer others; Contribute time or expertise","pay_for_use, give_feedback, join_pilot, governance, refer_others, contribute_time","Yes","yes","","Yes","yes","Yes","yes","Cost or affordability; Technical setup or maintenance demands; Difficulty moving from existing tools; Lack of integrations with other tools","cost_affordability, technical_setup, migration_difficulty, integration_gaps","Easy onboarding or setup help; Peer learning with other organizations or community members; Help migrating from current tools; Evidence from pilots or real examples","onboarding_help, peer_learning, migration_help, evidence_pilots","Not very sensitive — budget is less of a barrier than fit or trust","not_very_sensitive","","","","","","Low fixed monthly or annual fee","low_fixed_fee","Maybe","maybe","$25 to $75 per month or about $300 to $900 per year","25_to_75_month","","accepted","1.0","4.0","4.0","4.0"
"R002","Non-profit","non_profit","4.0","Too expensive; Poor privacy or data protection; Weak support when something goes wrong","too_expensive, poor_privacy, weak_support","5.0","5.0","3.0","3.0","3.0","5.0","4.0","5.0","Somewhat familiar","somewhat_familiar","Somewhat important","somewhat_important","Less likely","less_likely","No difference","no_difference","Better privacy and data stewardship; Stronger long-term community benefit","privacy, long_term_benefit","","","","","","","","","To follow / grip","Not sure","not_sure","How it aligns with our goal and make us use it in a better way to acieve our goals","","","","","","","","","","","","","","","Contributor to design and priorities","design_contributor","Consultation as a user","consulted_as_user","Strong privacy and data protection; Reliable support and maintenance; Evidence that communities have real decision-making power; Long-term sustainability plan","strong_privacy, reliable_support, community_power, sustainability_plan","Give regular feedback; Participate in governance or voting; Wait and see; Contribute time or expertise","give_feedback, governance, wait_and_see, contribute_time","No","no","Give people awarenss and training, there is a whole new world of ai tools. Half of the population dont even know","Yes","yes","Yes","yes","","","","","","","","","","","","","","","","","","","accepted","3.0","2.0","1.0","2.0"
"R003","Other / not specified","other_organisation","3.0","Weak support when something goes wrong; Too many separate tools to manage; Hard to use","weak_support, too_many_tools, hard_to_use","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","Not familiar","not_familiar","Extremely important","extremely_important","Much more likely","much_more_likely","Much more likely","much_more_likely","More accountability to real communities; Better privacy and data stewardship; More influence over future development; Lower risk of profit-driven decisions; Stronger long-term community benefit","accountability, privacy, influence, less_profit_pressure, long_term_benefit","","","","","","","","","","","","","","","","","","","","","","","","","","","Not sure yet","not_sure_yet","A meaningful voice in governance and direction","meaningful_voice","Reliable support and maintenance; Clear accountability if something goes wrong","reliable_support, clear_accountability","Join a pilot","join_pilot","No","no","No","Yes","yes","Yes","yes","","","","","","","","","","","","","","","","","","","accepted","1.0","4.0","4.0","4.0"
"R004","Other / not specified","other_organisation","1.0","Poor privacy or data protection; Too much dependence on large corporate platforms; Weak support when something goes wrong","poor_privacy, corporate_dependence, weak_support","5.0","4.0","4.0","5.0","5.0","3.0","4.0","4.0","Not familiar","not_familiar","Very important","very_important","Somewhat more likely","somewhat_more_likely","Much more likely","much_more_likely","Better alignment with co-operative or community values; Better privacy and data stewardship; More influence over future development; Lower risk of profit-driven decisions","values_alignment, privacy, influence, less_profit_pressure","","","","","","","","","","","","","","","","","","","","","","","","Somewhat more trustworthy","somewhat_more_trustworthy","Confidence in data privacy","Pilot participant","pilot_participant","Consultation as a user","consulted_as_user","Clear governance structure; Strong privacy and data protection; Reliable support and maintenance; Long-term sustainability plan","clear_governance, strong_privacy, reliable_support, sustainability_plan","Join a pilot; Pay for use; Give regular feedback; Refer others; Contribute time or expertise","join_pilot, pay_for_use, give_feedback, refer_others, contribute_time","Yes","yes","Would the model enforce 1:1 pairing of a digital identity with an individual? Where anonymity can serve a beneficial role for certain use cases in online use, is this feasible for the model, and what are the legal implications?","Yes","yes","Yes","yes","Difficulty moving from existing tools; Privacy, security, or data control concerns; Uncertainty about long-term sustainability","migration_difficulty, privacy_security, sustainability_uncertainty","Easy onboarding or setup help; Clear documentation and self-serve guides","onboarding_help, documentation","Somewhat sensitive — paying could work if the value is clear","somewhat_sensitive","","","","","","Case-by-case support based on use or capacity","case_by_case","Yes","yes","$25 to $75 per month or about $300 to $900 per year","25_to_75_month","","accepted","1.0","3.0","3.0","4.0"
"R005","I am answering as a member of the general public","general_public","3.0","Too much dependence on large corporate platforms; Weak support when something goes wrong; Not well suited to our community or work","corporate_dependence, weak_support, not_suited","5.0","5.0","5.0","4.0","4.0","4.0","5.0","5.0","Somewhat familiar","somewhat_familiar","Somewhat important","somewhat_important","Somewhat more likely","somewhat_more_likely","Much more likely","much_more_likely","More accountability to real communities; Better privacy and data stewardship; Lower risk of profit-driven decisions; Better alignment with co-operative or community values","accountability, privacy, less_profit_pressure, values_alignment","A clear code of conduct that protects user data and prevents bullying, harassment, and hate-sperch, has no AI-features (because generative AI is resource heavy and involves plagiarism of the work of writers and artists) If advertising must be included to cover costs that ads and the companies submitting ads are vetted to ensure those companies and contents adhere to the values and rules of the platform.","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Not sure yet","not_sure_yet","Consultation as a user","consulted_as_user","Strong privacy and data protection; Clear accountability if something goes wrong; Evidence that communities have real decision-making power; Clear governance structure","strong_privacy, clear_accountability, community_power, clear_governance","Give regular feedback; Refer others","give_feedback, refer_others","Yes","yes","There needs to be a system in place to remove board members if their conduct isn’t acceptable. One that will actually be used. Not one that exists in a document for optics but will never be enforced because the governing body only protects its own interests. ","Yes","yes","No","no","Cost or affordability; Technical setup or maintenance demands; Privacy, security, or data control concerns","cost_affordability, technical_setup, privacy_security","Clear documentation and self-serve guides; Affordable hosting or infrastructure support; A clear governance and accountability model","documentation, hosting_support, governance_model","Very sensitive — it would need to be free or very low cost","very_sensitive","Not sure","not_sure","Under $5 per month or under $50 per year","under_5_month","Real support (not ai chatbots) proper guides to common issues that I can consult and read. Meaningful promises that my data won’t be sold off for profit. The absolute absence of AI-generated content on the platform and a ban on generative AI use in the platform (no ai chatbots, no ai assisted search, no ai scraping of photos and data)","","","","","","","","","3.0","2.0","3.0","4.0"
"R006","I am answering as a member of the general public","general_public","1.0","Too much dependence on large corporate platforms; Hard to govern or manage collectively","corporate_dependence, hard_to_govern","2.0","1.0","4.0","5.0","5.0","3.0","4.0","3.0","Very familiar","very_familiar","Extremely important","extremely_important","Much more likely","much_more_likely","Much more likely","much_more_likely","Better alignment with co-operative or community values; More accountability to real communities; Lower risk of profit-driven decisions; Stronger long-term community benefit; More trust in how decisions are made","values_alignment, accountability, less_profit_pressure, long_term_benefit, decision_trust","transparency","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Not sure yet","not_sure_yet","Not sure yet","not_sure_yet","Clear governance structure; Long-term sustainability plan","clear_governance, sustainability_plan","Contribute time or expertise","contribute_time","No","no","","No","no","No","no","","","","","","","","","","","","","","","","","","","","5.0","4.0","4.0","4.0"
"R007","Other / not specified","other_organisation","4.0","Hard to use; Too many separate tools to manage","hard_to_use, too_many_tools","5.0","4.0","","","","","","5.0","Not familiar","not_familiar","Very important","very_important","No difference","no_difference","No difference","no_difference","More trust in how decisions are made","decision_trust","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","3.0","2.0","2.0"
"R008","Co-op","co_op","3.0","Too much dependence on large corporate platforms","corporate_dependence","5.0","5.0","4.0","4.0","5.0","5.0","5.0","5.0","Somewhat familiar","somewhat_familiar","Extremely important","extremely_important","Much more likely","much_more_likely","Much more likely","much_more_likely","More influence over future development","influence","","","","Very well","very_well","User only","user_only","The relationship we build with the programmer / operator ","","","","","","","","","","","","","","","","","","","User only","user_only","Consultation as a user","consulted_as_user","Real examples or pilot partners; Reliable support and maintenance; Long-term sustainability plan","real_examples, reliable_support, sustainability_plan","Join a pilot; Refer others; Contribute time or expertise","join_pilot, refer_others, contribute_time","Yes","yes","","No","no","Yes","yes","Cost or affordability; Technical setup or maintenance demands; Uncertainty about long-term sustainability","cost_affordability, technical_setup, sustainability_uncertainty","Training or mentorship; Clear documentation and self-serve guides; Evidence from pilots or real examples","training, documentation, evidence_pilots","Very sensitive — it would need to be free or very low cost","very_sensitive","","","","","","Sliding scale based on size or budget","sliding_scale","Maybe","maybe","Under $25 per month or under $300 per year","under_25_month","","accepted","3.0","4.0","4.0","4.0"
"R009","I am answering as a member of the general public","general_public","4.0","Too expensive; Too much dependence on large corporate platforms; Poor privacy or data protection","too_expensive, corporate_dependence, poor_privacy","5.0","5.0","5.0","5.0","3.0","4.0","4.0","5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R010","Non-profit","non_profit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
